nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode  215 | Return  -236.323 | Updates  200 | Remaining time 44.36 hours
Episode  216 | Return  -321.556 | Updates  200 | Remaining time 44.36 hours
Episode  217 | Return  -123.223 | Updates  200 | Remaining time 44.36 hours
Episode  218 | Return  -233.384 | Updates  200 | Remaining time 44.35 hours
Episode  219 | Return  -122.087 | Updates  200 | Remaining time 44.35 hours
Episode  220 | Return  -128.651 | Updates  200 | Remaining time 44.34 hours
Episode  221 | Return  -237.351 | Updates  200 | Remaining time 44.33 hours
Episode  222 | Return  -125.962 | Updates  200 | Remaining time 44.34 hours
Episode  223 | Return  -130.888 | Updates  200 | Remaining time 44.35 hours
Episode  224 | Return  -359.376 | Updates  200 | Remaining time 44.36 hours
Episode  225 | Return  -129.900 | Updates  200 | Remaining time 44.39 hours
Episode  226 | Return  -128.955 | Updates  200 | Remaining time 44.44 hours
Episode  227 | Return  -236.145 | Updates  200 | Remaining time 44.45 hours
Episode  228 | Return  -121.001 | Updates  200 | Remaining time 44.46 hours
Episode  229 | Return    -8.249 | Updates  200 | Remaining time 44.45 hours
Episode  230 | Return  -129.203 | Updates  200 | Remaining time 44.48 hours
Episode  231 | Return  -129.654 | Updates  200 | Remaining time 44.47 hours
Episode  232 | Return  -132.657 | Updates  200 | Remaining time 44.48 hours
Episode  233 | Return  -252.012 | Updates  200 | Remaining time 44.47 hours
